и	ˈi
аудио	ˈɑudʲiʌ
генерируется	ɡʲinʲirʲˈirujitsʌ
реальном	rʲiˈɑɭʲnʌm
установлено	ustanˈovɭʲinʌ
добираться	dʌbʲirˈɑtsʌ
звонче	zvˈontʃʲi
подробная	pʌdrˈobnʌja
речевые	rʲitʃʲivˈyjɪ
забивают	zʌbʲivˈɑjut
элементы	ɛɭʲimʲˈenty
словесные	sɭʌvʲˈesnyjɪ
посудой	pʌsˈudʌj
преградами	prʲiɡrˈɑdʌmʲɪ
предварительного	prʲidvarʲˈitʲiɭʲnʌvʌ
касаниях	kasˈɑnʲijax
прохождению	prʌxʌʒdʲˈenʲiju
текстовым	tʲˈekstʌvym
прохождения	prʌxʌʒdʲˈenʲija
честен	tʃʲˈesʲtʲin
выгрузкой	vˈyɡruskʌj
убедиться	ubʲidʲˈitsʌ
ответит	ʌtvʲˈetʲit
обязательной	ʌbʲazˈɑtʲiɭʲnʌj
умеешь	umʲˈejiʃ
культы	kˈuɭʲty
факультеты	fʌkuɭʲtʲˈety
разметка	razmʲˈetka
безопасное	bʲizʌpˈɑsnʌjɪ
упаковка	upakˈofka
переполненное	pʲirʲipˈoɭnʲinnʌjɪ
выдавался	vydavˈɑɭsʲʌ
приглушить	prʲiɡɭuʃˈytʲ
надоевший	nʌdʌjˈefʃyj
оглушив	ʌɡɭuʃˈyf
договорится	dʌɡʌvʌrʲˈitsʌ
выслушивают	vysɭˈuʃyvʌjut
минутами	mʲinˈutʌmʲɪ
привычный	prʲivˈytʃʲnyj
онлайновых	ʌnɭˈɑjnʌvyx
осмотром	ʌsmˈotrʌm
нет-нет	nʲˈetnʲˈet
суров	surˈof
частоты	tʃʲastˈoty
сопротивлялся	sʌprʌtʲivɭʲˈɑɭsʲʌ
регистрирует	rʲiɡʲistrʲˈirujit
внутренностей	vnˈutrʲinnʌsʲtʲij
переключателями	pʲirʲikɭʲutʃʲˈɑtʲiɭʲʌmʲɪ
темпу	tʲˈempu
сохранённых	sʌxranʲˈɵnnyx
заменяется	zʌmʲinʲˈɑjitsʌ
двойки	dvˈojkʲɪ
включительно	fkɭʲutʃʲˈitʲiɭʲnʌ
оставит	ʌstˈɑvʲit
ускорен	uskˈorʲin
вернувшемуся	vʲirnˈufʃymusʲʌ
вернувшийся	vʲirnˈufʃyjsʲʌ
быструю	bˈystruju
поменялось	pʌmʲinʲˈɑɭʌsʲ
слышавший	sɭˈyʃʌfʃyj
прошлые	prˈoʃɭyjɪ
привыкла	prʲivˈykɭa
заставлять	zʌstavɭʲˈɑtʲ
чтеце	tʃʲtʲitsˈɛ
барабан	bʌrabˈɑn
жизненный	ʒˈyʑnʲinnyj
цикл	tsˈykɭ
сворачивают	svʌrˈɑtʃʲivʌjut
мессенджер	mʲˈesʲsʲindʒyr
скверно	skvʲˈernʌ
возврате	vʌzvrˈɑtʲi
отдавал	ʌddavˈɑɭ
приостановленный	prʲiʌstanˈovɭʲinnyj
уходя	uxʌdʲˈɑ
глушим	ɡɭuʃˈym
возвращаясь	vʌzvraɕˈɑjasʲ
остановленную	ʌstanˈovɭʲinnuju
начиналось	nʌtʃʲinˈɑɭʌsʲ
перенесли	pʲirʲinʲisɭʲˈɪ
погасил	pʌɡasʲˈiɭ
будильник	budʲˈiɭʲnʲik
просьбой	prˈoʑbʌj
нарезка	narʲˈeska
обрыва	ʌbrˈyva
решало	rʲiʃˈɑɭʌ
речевое	rʲitʃʲivˈojɪ
дублей	dˈubɭʲij
замены	zamʲˈeny
запуск	zˈɑpusk
поколением	pʌkʌɭʲˈenʲijim
адаптером	adˈɑptʲirʌm
приглушаются	prʲiɡɭuʃˈɑjutsʌ
локальные	ɭʌkˈɑɭʲnyjɪ
гоняют	ɡʌnʲˈɑjut
негоден	nʲiɡˈodʲin
отсеян	ʌtʲsʲˈejan
субтитрами	suptʲˈitrʌmʲɪ
браузеры	brˈɑuʑiry
яндекс	ˈjandɛks
движке	dvʲiʃkʲˈe
выпавшая	vˈypʌfʃʌja
промиса	prʌmʲˈisa
проглатывается	prʌɡɭatˈyvʌjitsʌ
будится	bˈudʲitsʌ
завелась	zʌvʲiɭˈɑsʲ
объяснения	ʌbjjasʲnʲˈenʲija
включаем	fkɭʲutʃʲˈɑjim
перечитываем	pʲirʲitʃʲitˈyvʌjim
резалась	rʲˈezʌɭʌsʲ
предложениям	prʲidɭʌʒˈɛnʲijam
уходила	uxʌdʲˈiɭa
высказываниями	vyskˈɑzyvʌnʲijamʲɪ
вставлял	fstavɭʲˈɑɭ
запинки	zapʲˈinkʲɪ
короткую	kʌrˈotkuju
пауз	pˈɑus
запуске	zˈɑpuskʲi
фразе	frˈɑʑi
похода	pʌxˈoda
зашьёшь	zaʃjˈɵʃ
отозвали	ʌtʌzvˈɑɭʲɪ
поднимаем	pʌdnʲimˈɑjim
движков	dvʲiʃkˈof
случае	sɭˈutʃʲʌjɪ
тактом	tˈɑktʌm
критическ	krʲitʲˈitʃʲisk
смертельн	smʲˈertʲiɭʲn
умира	umʲˈira
легендарн	ɭʲiɡʲˈendʌrn
божественн	bʌʒˈɛstvʲinn
достижени	dʌsʲtʲˈiʒynʲɪ
получен	pʌɭˈutʃʲin
помеченный	pʌmʲˈetʃʲinnyj
резался	rʲˈezʌɭsʲʌ
минимальных	mʲinʲimˈɑɭʲnyx
пометить	pʌmʲˈetʲitʲ
синхронно	sʲinxrˈonnʌ
субтитр	suptʲˈitr
сторожем	stˈorʌʒym
присылает	prʲisyɭˈɑjit
собрал	sʌbrˈɑɭ
мусора	mˈusʌra
паузы	pˈɑuzy
свёрнутого	svʲˈɵrnutʌvʌ
ждала	ʒdaɭˈɑ
текущая	tʲikˈuɕʌja
говорилась	ɡʌvʌrʲˈiɭʌsʲ
замолкала	zʌmʌɭkˈɑɭa
идём	ɪdʲˈɵm
текущее	tʲikˈuɕijɪ
устаревшего	ustarʲˈefʃyvʌ
договариваем	dʌɡʌvarʲˈivʌjim
настройкам	nastrˈojkʌm
критическое	krʲitʲˈitʃʲiskʌjɪ
очко	ʌtʃʲkˈo
микшер	mʲˈikʃyr
музыку	mˈuzyku
настольном	nastˈoɭʲnʌm
аудио-движок	ˈɑudʲiʌdvʲiʒˈok
проигрывание	prʌˈiɡryvʌnʲijɪ
реальных	rʲiˈɑɭʲnyx
аудиозаписей	audʲiʌzˈɑpʲisʲij
экземпляра	ɛɡʑimpɭʲˈɑra
утилита	utʲiɭʲˈita
ламповое	ɭˈɑmpʌvʌjɪ
хрипотцы	xrʲipʌttsˈy
рёва	rʲˈɵva
рассечённого	rʌsʲsʲitʃʲˈɵnnʌvʌ
металлический	mʲitaɭɭʲˈitʃʲiskʲij
призвук	prʲˈizvuk
влажное	vɭˈɑʒnʌjɪ
контакт	kʌntˈɑkt
синтетического	sʲintʲitʲˈitʃʲiskʌvʌ
пластикового	pɭˈɑsʲtʲikʌvʌvʌ
ненатурального	nʲinʌturˈɑɭʲnʌvʌ
попаданий	pʌpadˈɑnʲij
сообщил	sʌʌpɕˈiɭ
контактный	kʌntˈɑktnyj
чёткой	tʃʲˈɵtkʌj
хрипотца	xrʲipʌttsˈɑ
недовольный	nʲidʌvˈoɭʲnyj
усилена	usʲˈiɭʲina
массивность	masʲsʲˈivnʌstʲ
подложен	pʌdɭˈoʒyn
инфразвуковой	ɪnfrʌzvukʌvˈoj
усиленная	usʲˈiɭʲinnʌja
яркая	ˈjarkʌja
трущихся	trˈuɕixsʲʌ
реализм	rʲiaɭʲˈizm
заметный	zamʲˈetnyj
вибрато	vʲibrˈɑtʌ
восходящее	vʌsxʌdʲˈɑɕijɪ
трёхнотное	trʲˈɵxnʌtnʌjɪ
мерцание	mʲirtsˈɑnʲijɪ
финальная	fʲinˈɑɭʲnʌja
вспышкой	fspˈyʃkʌj
затухании	zʌtuxˈɑnʲiɪ
перепончатых	pʲirʲipˈontʃʲʌtyx
клёкотом	kɭʲˈɵkʌtʌm
виверну	vʲivʲˈernu
виверны	vʲivʲˈerny
коронный	kʌrˈonnyj
вдохом	vdˈoxʌm
подкладка	pʌtkɭˈɑtka
суб-баса	sˈupbˈɑsa
осыпающихся	ʌsypˈɑjuɕixsʲʌ
песчинок	pʲiɕˈinʌk
всплывающие	fspɭyvˈɑjuɕijɪ
скольжение	skʌɭʲʒˈɛnʲijɪ
гремучий	ɡrʲimˈutʃʲij
гремучей	ɡrʲimˈutʃʲij
шёпот-шум	ʃˈopʌtʃˈum
воем	vˈojim
животные	ʒyvˈotnyjɪ
ржание	rʒˈɑnʲijɪ
переступ	pʲirʲistˈup
копыт	kʌpˈyt
дворовых	dvʌrˈovyx
собак	sʌbˈɑk
отдалении	ʌddaɭʲˈenʲiɪ
коровы	kʌrˈovy
деревенской	dʲirʲivʲˈenskʌj
вскрикивают	fskrʲˈikʲivʌjut
коготки	kʌɡʌtkʲˈɪ
кожистые	kˈoʒystyjɪ
ультразвуковой	uɭʲtrʌzvukʌvˈoj
подлеска	pʌdɭʲˈeska
оборванный	ʌbˈorvʌnnyj
вдохе	vdˈoxi
выкликает	vykɭʲikˈɑjit
съезжают	sjjiʒʒˈɑjut
замолчал	zʌmʌɭtʃʲˈɑɭ
заготовке	zʌɡʌtˈofkʲi
эля	ˈɛɭʲʌ
льётся	ɭjˈɵtsʌ
кувшина	kufʃˈyna
катятся	kˈɑtʲʌtsʌ
останавливаются	ʌstanˈɑvɭʲivʌjutsʌ
сорвана	sˈorvʌna
мощный	mˈoɕnyj
каплями	kˈɑpɭʲʌmʲɪ
поленьев	pʌɭʲˈenjjif
журчание	ʒurtʃʲˈɑnʲijɪ
сверчков	svʲirtʃʲkˈof
размеренные	razmʲˈerʲinnyjɪ
сверкающее	svʲirkˈɑjuɕijɪ
змеиной	zmʲiˈinʌj
великана	vʲiɭʲikˈɑna
призрака	prʲˈizrʌka
расширенная	raʃʃˈyrʲinnʌja
гораздо	ɡʌrˈɑzdʌ
волка	vˈoɭka
подвывание	pʌdvyvˈɑnʲijɪ
визгливый	vʲizɡɭʲˈivyj
гоблина	ɡˈobɭʲina
гортанный	ɡʌrtˈɑnnyj
утробный	utrˈobnyj
огра	ˈoɡra
скрежещущий	skrʲiʒˈɛɕuɕij
раскатистый	raskˈɑtʲistyj
угрожающее	uɡrʌʒˈɑjuɕijɪ
клёкот	kɭʲˈɵkʌt
переходящий	pʲirʲixʌdʲˈɑɕij
змеиное	zmʲiˈinʌjɪ
рокотом	rˈokʌtʌm
хищный	xˈiɕnyj
тоскливый	tʌskɭʲˈivyj
высотный	vysˈotnyj
хлюпанье	xɭʲˈupʌnjjɪ
трясины	trʲasʲˈiny
барханам	barxˈɑnʌm
морозный	mʌrˈoznyj
приглушённая	prʲiɡɭuʃˈonnʌja
раскаты	raskˈɑty
уханье	ˈuxʌnjjɪ
карканье	kˈɑrkʌnjjɪ
прослушивания	prʌsɭˈuʃyvʌnʲija
маяках	mʌjakˈɑx
властная	vɭˈɑsnʌja
простолюдин	prʌstʌɭʲudʲˈin
нейтральная	nʲijtrˈɑɭʲnʌja
торопливый	tʌrʌpɭʲˈivyj
заменён	zʌmʲinʲˈɵn
рисованную	rʲisʌvˈɑnnuju
нашлась	naʃɭˈɑsʲ
оставлены	ʌstˈɑvɭʲiny
рисованными	rʲisʌvˈɑnnymʲɪ
голосах	ɡʌɭʌsˈɑx
живности	ʒˈyvnʌsʲtʲɪ
настоящему	nʌstʌˈjaɕimu
рисованному	rʲisʌvˈɑnnʌmu
подобию	pʌdˈobʲiju
людные	ɭʲˈudnyjɪ
поимённые	pʌimʲˈɵnnyjɪ
беглая	bʲˈeɡɭʌja
ловила	ɭʌvʲˈiɭa
перестук	pʲirʲistˈuk
костяшек	kʌsʲtʲˈɑʃyk
вшитая	fʃˈytʌja
дорисовывались	dʌrʲisʌvˈyvʌɭʲisʲ
полумера	pʌɭumʲˈera
рисованное	rʲisˈovʌnnʌjɪ
сцене	stsˈɛnʲi
подделку	pʌdʲdʲˈeɭku
зацикленные	zatsˈykɭʲinnyjɪ
рисованной	rʲisʌvˈɑnnʌj
синтезу	sʲˈintʲizu
переводится	pʲirʲivˈodʲitsʌ
плеер	pɭˈɛjir
показывать	pʌkˈɑzyvʌtʲ
мигала	mʲiɡˈɑɭa
рисованная	rʲisˈovʌnnʌja
зацикленный	zatsˈykɭʲinnyj
плавное	pɭˈɑvnʌjɪ
нарастание	nʌrastˈɑnʲijɪ
зацикленных	zatsˈykɭʲinnyx
естественный	jɪsʲtʲˈɛstvʲinnyj
кроссфейд	krʌssfʲˈejt
резкого	rʲˈeskʌvʌ
выключили-включили	vˈykɭʲutʃʲiɭʲɪfkɭʲutʃʲˈiɭʲɪ
нужная	nˈuʒnʌja
переиспользован	pʲirʲiispˈoɭʲzʌvʌn
банком	bˈɑnkʌm
подхваченная	pʌtxvˈɑtʃʲinnʌja
оборвалась	ʌbʌrvaɭˈɑsʲ
трезвучие	trʲizvˈutʃʲijɪ
рисовалось	rʲisʌvˈɑɭʌsʲ
осцилляторами	ʌstsyɭɭʲˈɑtʌrʌmʲɪ
отсутствии	ʌtsˈutstvʲiɪ
лесенку	ɭʲˈesʲinku
продвинулось	prʌdvʲˈinuɭʌsʲ
лесенка	ɭʲˈesʲinka
генеративная	ɡʲinʲiratʲˈivnʌja
высококачественная	vysʌkʌkˈɑtʃʲistvʲinnʌja
делила	dʲiɭʲˈiɭa
добавили	dʌbˈɑvʲiɭʲɪ
призрачным	prʲˈizrʌtʃʲnym
роялем	rʌˈjaɭʲim
предчувствия	prʲittʃʲˈustvʲija
пещерной	pʲiɕˈernʌj
слышался	sɭˈyʃʌɭsʲʌ
виолончелью	vʲiʌɭʌntʃʲˈeɭjju
пеленой	pʲiɭʲinˈoj
кларнетом	kɭarnˈɛtʌm
лютней	ɭʲˈutʲnʲij
докачались	dʌkatʃʲˈɑɭʲisʲ
обретён	ʌbrʲitʲˈɵn
заключена	zʌkɭʲutʃʲinˈɑ
поднялось	pʌdnʲaɭˈosʲ
загружены	zaɡrˈuʒyny
пулы	pˈuɭy
музыкальный	muzykˈɑɭʲnyj
значимости	znˈɑtʃʲimʌsʲtʲɪ
героический	ɡʲirʌˈitʃʲiskʲij
торжественный	tʌrʒˈɛstvʲinnyj
трудная	trˈudnʌja
запусками	zˈɑpuskʌmʲɪ
героическая	ɡʲirʌˈitʃʲiskʌja
торжественная	tʌrʒˈɛstvʲinnʌja
успешное	uspʲˈeʃnʌjɪ
села	sʲˈeɭa
тростник	trʌsnʲˈik
часовни	tʃʲasˈovnʲɪ
перезапуск	pʲirʲizˈɑpusk
проходила	prʌxʌdʲˈiɭa
описаниях	ʌpʲisˈɑnʲijax
кинематографичная	kʲinʲimʌtʌɡrˈɑfʲitʃʲnʌja
прогрессия	prʌɡrʲˈesʲsʲija
искры-арпеджио	ˈɪskryarpʲˈedʒyʌ
басовые	basˈovyjɪ
тревожный	trʲivˈoʒnyj
дрон	drˈon
арпеджио	arpʲˈedʒyʌ
акустические	akusʲtʲˈitʃʲiskʲijɪ
абстрактных	apstrˈɑktnyx
музыкальных	muzykˈɑɭʲnyx
сигналов	sʲiɡnˈɑɭʌf
издавал	ɪzdavˈɑɭ
нисходящий	nʲisxʌdʲˈɑɕij
лютни	ɭʲˈutʲnʲɪ
мехов	mʲixˈof
ученическая	utʃʲinʲˈitʃʲiskʌja
арпеджио-трель	arpʲˈedʒyʌtrʲˈelʲ
нисходящего	nʲisxʌdʲˈɑɕivʌ
мерцающий	mʲirtsˈɑjuɕij
обертон-искра	ʌbʲirtˈonˈɪskra
гуляющий	ɡuɭʲˈɑjuɕij
слышный	sɭˈyʃnyj
оживлённая	ʌʒyvɭʲˈɵnnʌja
бодрые	bˈodryjɪ
позвякивание	pʌzvʲˈɑkʲivʌnʲijɪ
мерцающим	mʲirtsˈɑjuɕim
тремоло-обертоном	trʲˈemʌɭʌʌbʲirtˈonʌm
подчёркнуто	pʌttʃʲˈɵrknutʌ
узнаваемо	uznavˈɑjimʌ
отличим	ʌtɭʲitʃʲˈim
шелеста	ʃˈɛɭʲista
тройная	trʌjnˈɑja
трель	trʲˈelʲ
похожая	pʌxˈoʒʌja
размеренный	razmʲˈerʲinnyj
уважительный	uvaʒˈytʲiɭʲnyj
протяжное	prʌtʲˈɑʒnʌjɪ
сиянием	sʲiˈjanʲijim
обертона	ʌbʲirtˈona
сдвоенный	zdvˈojinnyj
терцию	tʲˈertsyju
скрещенные	skrʲˈeɕinnyjɪ
неустойчивого	nʲiustˈojtʃʲivʌvʌ
торопливая	tʌrʌpɭʲˈivʌja
уставший	ustˈɑfʃyj
посоха	pˈosʌxa
объёмных	ʌbjˈɵmnyx
деревянного	dʲirʲivʲˈɑnnʌvʌ
квинта	kvʲˈinta
маякам	mʌjakˈɑm
проходимой	prʌxʌdʲˈimʌj
синтезе	sʲˈintʲiʑi
котлом	kʌtɭˈom
вдогонку	vdʌɡˈonku
половиц	pʌɭʌvʲˈits
упряжи	ˈuprʲʌʒy
горизонтали	ɡʌrʲizʌntˈɑɭʲɪ
эхо-скане	ˈɛxʌskˈɑnʲi
очередью	ˈotʃʲirʲidʲjju
наложилась	nʌɭʌʒˈyɭʌsʲ
отзвучать	ʌdzvutʃʲˈɑtʲ
резиденция	rʲiʑidʲˈentsyja
заброшенное	zabrˈoʃynnʌjɪ
лекарственные	ɭʲikˈɑrstvʲinnyjɪ
ягодник	ˈjaɡʌdnʲik
окаменевший	ʌkʌmʲinʲˈefʃyj
свиты	svʲˈity
столкновения	stʌɭknʌvʲˈenʲija
тематические	tʲimatʲˈitʃʲiskʲijɪ
лежащие	ɭʲiʒˈɑɕijɪ
папках	pˈɑpkʌx
летучая	ɭʲitˈutʃʲʌja
жала	ʒˈɑɭa
брань	brˈɑnʲ
чавканье	tʃʲˈɑfkʌnjjɪ
щёлканье	ɕˈɵɭkʌnjjɪ
паутиной	pʌutʲˈinʌj
построители	pʌstrʌˈitʲiɭʲɪ
сеток	sʲˈetʌk
удалены	udʌɭʲinˈy
двухуровневая	dvuxˈurʌvnʲivʌja
пятьюстами	pʲʌtʲjjustˈɑmʲɪ
семьюдесятью	sʲimʲjˈjudʲisʲʌtʲjju
шестью	ʃystʲjˈju
попавшая	pʌpˈɑfʃʌja
заглавного	zaɡɭˈɑvnʌvʌ
вписано	fpʲˈisʌnʌ
разметку	razmʲˈetku
устарело	ustarʲˈeɭʌ
пополнении	pʌpʌɭnʲˈenʲiɪ
разложенных	razɭˈoʒynnyx
отделены	ʌdʲdʲiɭʲinˈy
рассветные	rassvʲˈetnyjɪ
островной	ʌstrʌvnˈoj
накат	nakˈɑt
сдвинувшегося	zdvʲˈinufʃyvʌsʲʌ
дровосек	drʌvʌsʲˈek
пошаговая	pʌʃˈɑɡʌvʌja
взведённого	vzvʲidʲˈɵnnʌvʌ
оборванной	ʌbˈorvʌnnʌj
раскрытие	raskrˈytʲijɪ
изученной	ɪzˈutʃʲinnʌj
поставки	pʌstˈɑfkʲɪ
таблицей	tabɭʲˈitsyj
интернет	ɪntɛrnˈɛt
воспроизвести	vʌsprʌizvʲisʲtʲˈɪ
сенсорный	sʲˈensʌrnyj
шлюз	ʃɭʲˈus
исправлены	ɪsprˈɑvɭʲiny
ощупывании	ʌɕupˈyvʌnʲiɪ
чтецов	tʃʲtʲitsˈof
незрячие	nʲizrʲˈɑtʃʲijɪ
отрывается	ʌtryvˈɑjitsʌ
пострадало	pʌstradˈɑɭʌ
пролежал	prʌɭʲiʒˈɑɭ
успела	uspʲˈeɭa
быстром	bˈystrʌm
закрывалось	zʌkryvˈɑɭʌsʲ
несколькими	nʲˈeskʌɭʲkʲimʲɪ
флажка	fɭaʃkˈɑ
объемлющем	ʌbjjˈemɭʲuɕim
ярлыке	jarɭykʲˈe
понимая	pʌnʲimˈɑja
ярлыка	jarɭykˈɑ
слипались	sɭʲipˈɑɭʲisʲ
озвучкаголосовое	ʌzvutʃʲkʌɡʌɭˈosʌvʌjɪ
собираем	sʌbʲirˈɑjim
кускам	kuskˈɑm
разделяем	rʌʑdʲiɭʲˈɑjim
хвосте	xvʌsʲtʲˈe
требовала	trʲˈebʌvʌɭa
ощупанным	ʌɕˈupʌnnym
установки	ustanˈofkʲɪ
недочитанный	nʲidʌtʃʲˈitʌnnyj
текстовые	tʲˈekstʌvyjɪ
исключены	ɪskɭʲutʃʲinˈy
экранную	ɛkrˈɑnnuju
клавиатуру	kɭʌvʲiatˈuru
флажки	fɭaʃkʲˈɪ
безопасны	bʲizʌpˈɑsny
прологу	prʌɭˈoɡu
подтянуть	pʌtʲtʲanˈutʲ
свайпу	svˈɑjpu
переносим	pʲirʲinˈosʲim
прозвучало	prʌzvutʃʲˈɑɭʌ
сбрасывался	zbrˈɑsyvʌɭsʲʌ
обнулял	ʌbnˈuɭʲʌɭ
означало	ʌznatʃʲˈɑɭʌ
надетую	nadʲˈetuju
нажали	naʒˈɑɭʲɪ
перестроился	pʲirʲistrˈoiɭsʲʌ
сказало	skazˈɑɭʌ
предохранителя	prʲidʌxranʲˈitʲiɭʲʌ
мешал	mʲiʃˈɑɭ
подвинуло	pʌdvʲˈinuɭʌ
сменилось	smʲinʲˈiɭʌsʲ
повторные	pʌftˈornyjɪ
возвраты	vʌzvrˈɑty
поуже	pʌˈuʒy
считало	ɕitˈɑɭʌ
множества	mnˈoʒystva
названного	nˈɑzvʌnnʌvʌ
строка-подпись	strʌkˈɑpˈotpʲisʲ
жало	ʒˈɑɭʌ
крошечным	krˈoʃytʃʲnym
флажком	fɭaʃkˈom
переключателе	pʲirʲikɭʲutʃʲˈɑtʲiɭʲi
оторвётся	ʌtʌrvʲˈɵtsʌ
свайп-перелистывание	svˈɑjppʲirʲiɭʲistˈyvʌnʲijɪ
информационные	ɪnfʌrmʌtsyˈonnyjɪ
доступным	dʌstˈupnym
скрывается	skryvˈɑjitsʌ
невидимые	nʲivʲˈidʲimyjɪ
листания	ɭʲistˈɑnʲija
несуществующей	nʲisuɕistvˈujuɕij
утыкался	utykˈɑɭsʲʌ
двойными	dvʌjnˈymʲɪ
касаний	kasˈɑnʲij
убираем	ubʲirˈɑjim
хвосты	xvʌstˈy
дробных	drˈobnyx
пункт-справка	pˈunktsprˈɑfka
видимый	vʲˈidʲimyj
отработает	ʌtrabˈotʌjit
неотличимо	nʲiʌtɭʲitʃʲˈimʌ
карточка-справка	kˈɑrtʌtʃʲkasprˈɑfka
бестиария	bʲisʲtʲiˈɑrʲija
листая	ɭʲistˈɑja
затрагивает	zatrˈɑɡʲivʌjit
подавления	pʌdavɭʲˈenʲija
ставим	stˈɑvʲim
глобальный	ɡɭʌbˈɑɭʲnyj
синтетический	sʲintʲitʲˈitʃʲiskʲij
давая	davˈɑja
ломало	ɭʌmˈɑɭʌ
нативных	natʲˈivnyx
слушателях	sɭˈuʃʌtʲiɭʲʌx
подобные	pʌdˈobnyjɪ
происходило	prʌisxʌdʲˈiɭʌ
перехвачено	pʲirʲixvˈɑtʃʲinʌ
отложенного	ʌtɭˈoʒynnʌvʌ
выполнялась	vypʌɭnʲˈɑɭʌsʲ
обнулять	ʌbnuɭʲˈɑtʲ
повторяем	pʌftʌrʲˈɑjim
действовали	dʲˈejstvʌvʌɭʲɪ
одноимённое	ʌdnʌimʲˈɵnnʌjɪ
медленным	mʲˈedɭʲinnym
трудновоспроизводимым	trudnʌvʌsprʌizvˈodʲimym
тремя-четырьмя	trʲimʲˈɑtʃʲityrɪmʲˈɑ
совпали	sʌfpˈɑɭʲɪ
одиночные	ʌdʲinˈotʃʲnyjɪ
двойные	dvʌjnˈyjɪ
тройные	trʌjnˈyjɪ
приучена	prʲiˈutʃʲina
нынешнюю	nˈynʲiʃnʲuju
назначаемую	nʌznatʃʲˈɑjimuju
влево-вверх	vɭʲˈevʌvvʲˈerx
вниз-вправо	vnʲˈisfprˈɑvʌ
распознаются	rʌspʌznˈɑjutsʌ
распознаватель	rʌspʌznavˈɑtʲilʲ
перекинуть	pʲirʲikʲˈinutʲ
встречали	fstrʲitʃʲˈɑɭʲɪ
вешает	vʲˈeʃʌjit
удобна	udˈobna
назначить	naznˈɑtʃʲitʲ
назначил	naznˈɑtʃʲiɭ
возвращены	vʌzvrʌɕinˈy
потерянным	pʌtʲˈerʲʌnnym
щёлкать	ɕˈɵɭkʌtʲ
перерисовываем	pʲirʲirʲisʌvˈyvʌjim
исчезнет	ɪɕˈeʑnʲit
зависимости	zavʲˈisʲimʌsʲtʲɪ
подводят	pʌdvˈodʲʌt
открывалось	ʌtkryvˈɑɭʌsʲ
сбору	zbˈoru
свериться	svʲˈerʲitsʌ
встав	fstˈɑf
догадаться	dʌɡadˈɑtsʌ
свайпнуть	svajpnˈutʲ
доводит	dʌvˈodʲit
привычным	prʲivˈytʃʲnym
видах	vʲˈidʌx
вызывал	vyzyvˈɑɭ
несуществующую	nʲisuɕistvˈujuɕuju
спасал	spasˈɑɭ
предохранитель	prʲidʌxranʲˈitʲilʲ
отмеченное	ʌtmʲˈetʃʲinnʌjɪ
экземпляр	ɛɡʑimpɭʲˈɑr
настройке	nastrˈojkʲi
неизученный	nʲiizˈutʃʲinnyj
полусекунды	pʌɭusʲˈekundy
применял	prʲimʲinʲˈɑɭ
подтверждения	pʌdtvʲirʒdʲˈenʲija
применяет	prʲimʲinʲˈɑjit
зависало	zʌvʲisˈɑɭʌ
строку-подпись	strʌkˈupˈotpʲisʲ
прыгал	prˈyɡʌɭ
случившееся	sɭutʃʲˈifʃyjisʲʌ
успевала	uspʲivˈɑɭa
ехал	jˈexʌɭ
неподвижным	nʲipʌdvʲˈiʒnym
целился	tsˈɛɭʲiɭsʲʌ
вычислялась	vytʃʲisɭʲˈɑɭʌsʲ
прокрутки	prʌkrˈutkʲɪ
перерисоваться	pʲirʲirʲˈisʌvʌtsʌ
лечатся	ɭʲˈetʃʲʌtʲsʲʌ
двигая	dvʲˈiɡʌja
текущему	tʲikˈuɕimu
подтвердить	pʌdtvʲirdʲˈitʲ
коснуться	kʌsnˈutsʌ
выполняем	vypʌɭnʲˈɑjim
затевался	zʌtʲivˈɑɭsʲʌ
исключений	ɪskɭʲutʃʲˈenʲij
заглавном	zaɡɭˈɑvnʌm
строго	strˈoɡʌ
наметило	namʲˈetʲiɭʌ
подъехала	pʌdjjˈexʌɭa
попавший	pʌpˈɑfʃyj
попадал	pʌpˈɑdʌɭ
взведённое	vzvʲidʲˈɵnnʌjɪ
максимум	mˈɑksʲimum
коснувшихся	kʌsnˈufʃyxsʲʌ
якорный	ˈjakʌrnyj
измеряется	ɪzmʲirʲˈɑjitsʌ
описывался	ʌpʲˈisyvʌɭsʲʌ
отрывает	ʌtryvˈɑjit
количеством	kʌɭʲˈitʃʲistvʌm
сдвинутый	zdvʲˈinutyj
отменял	ʌtmʲinʲˈɑɭ
нелепость	nʲiɭʲˈepʌstʲ
перепишется	pʲirʲipʲˈiʃytsʌ
лежащему	ɭʲiʒˈɑɕimu
выполняли	vypʌɭnʲˈɑɭʲɪ
последующего	pʌsɭʲˈedujuɕivʌ
протягивания	prʌtʲaɡʲˈivʌnʲija
оверлея	ʌvʲˈerɭʲija
коснувшись	kʌsnˈufʃysʲ
обрывалось	ʌbryvˈɑɭʌsʲ
выжидает	vyʒydˈɑjit
неспешном	nʲispʲˈeʃnʌm
узнавала	uznavˈɑɭa
начавшемся	natʃʲˈɑfʃymsʲʌ
лежащего	ɭʲiʒˈɑɕivʌ
неощутима	nʲiʌɕutʲˈima
замерший	zˈɑmʲirʃyj
многопальцевых	mnʌɡʌpˈɑɭʲtsyvyx
тапов	tˈɑpʌf
неизбежно	nʲiizbʲˈeʒnʌ
перекатываются	pʲirʲikˈɑtyvʌjutsʌ
диагональ	dʲiʌɡʌnˈɑlʲ
ведём	vʲidʲˈɵm
